geoid,perc_unemployed_10,total_labor,total_college_10
1001020100.0,3.8,1392.0,240.0
1001020200.0,7.9,1522.0,323.0
1001020300.0,5.7,2641.0,330.0
1001020400.0,4.5,3819.0,649.0
1001020500.0,3.7,7405.0,2116.0
1001020600.0,8.1,2640.0,428.0
1001020700.0,2.7,2110.0,110.0
1001020801.0,5.3,2166.0,460.0
1001020802.0,4.2,7501.0,1126.0
1001020900.0,9.0,4243.0,428.0
1001021000.0,8.2,2182.0,190.0
1001021100.0,18.8,2709.0,182.0
1003010100.0,3.7,2821.0,257.0
1003010200.0,4.9,2112.0,112.0
1003010300.0,5.1,5841.0,896.0
1003010400.0,10.6,3853.0,498.0
1003010500.0,10.0,3559.0,421.0
1003010600.0,9.3,2631.0,65.0
1003010701.0,4.3,7170.0,2422.0
1003010703.0,5.1,9218.0,2898.0
1003010704.0,6.6,4268.0,1390.0
1003010705.0,4.6,5936.0,1456.0
1003010800.0,3.5,6022.0,1626.0
1003010903.0,7.3,4040.0,443.0
1003010904.0,11.1,5125.0,337.0
1003010905.0,1.9,5016.0,743.0
1003010906.0,11.3,3239.0,374.0
1003011000.0,3.6,3086.0,167.0
1003011101.0,3.2,6873.0,1936.0
1003011102.0,8.3,2784.0,491.0
1003011201.0,9.0,3770.0,1175.0
1003011202.0,3.9,3772.0,1033.0
1003011300.0,4.4,3142.0,705.0
1003011401.0,13.8,7627.0,616.0
1003011403.0,6.7,5927.0,929.0
1003011405.0,5.8,3534.0,1081.0
1003011406.0,3.7,2666.0,484.0
1003011407.0,8.4,4124.0,648.0
1003011408.0,0.0,620.0,118.0
1003011501.0,7.9,3849.0,309.0
1003011502.0,6.7,7124.0,705.0
1003011601.0,5.8,5148.0,759.0
1003011602.0,13.0,4880.0,638.0
1003990000.0,,0.0,0.0
1005950100.0,6.1,2834.0,368.0
1005950200.0,4.3,3336.0,131.0
1005950300.0,11.6,1616.0,184.0
1005950400.0,13.1,3632.0,210.0
1005950500.0,6.9,2805.0,182.0
1005950600.0,12.6,1455.0,54.0
1005950700.0,4.9,1338.0,165.0
1005950800.0,6.6,1742.0,303.0
1005950900.0,16.5,3435.0,406.0
1007010001.0,10.3,2609.0,5.0
1007010002.0,4.6,4844.0,572.0
1007010003.0,7.7,3995.0,283.0
1007010004.0,12.5,6515.0,387.0
1009050101.0,9.6,5693.0,745.0
1009050102.0,11.7,5410.0,549.0
1009050200.0,9.6,2939.0,247.0
1009050300.0,3.7,4138.0,393.0
1009050400.0,7.9,3453.0,300.0
1009050500.0,8.5,5942.0,367.0
1009050601.0,3.1,2729.0,326.0
1009050602.0,7.7,6821.0,732.0
1009050700.0,4.8,7239.0,428.0
1011952100.0,5.6,1253.0,55.0
1011952200.0,13.3,4838.0,286.0
1011952500.0,11.0,2652.0,412.0
1013952700.0,3.3,1885.0,178.0
1013952800.0,5.8,1246.0,253.0
1013952900.0,17.1,1451.0,141.0
1013953000.0,2.1,1057.0,112.0
1013953100.0,15.1,2396.0,83.0
1013953200.0,5.8,3252.0,247.0
1013953300.0,5.3,1511.0,52.0
1013953400.0,18.5,2153.0,88.0
1013953500.0,11.2,1402.0,107.0
1015000200.0,14.8,2627.0,363.0
1015000300.0,20.9,2422.0,26.0
1015000400.0,21.1,2385.0,115.0
1015000500.0,25.7,1437.0,7.0
1015000600.0,29.1,2095.0,81.0
1015000700.0,9.9,2220.0,236.0
1015000800.0,3.2,883.0,133.0
1015000900.0,11.4,2768.0,865.0
1015001000.0,6.3,4814.0,1255.0
1015001100.0,12.2,5084.0,807.0
1015001201.0,8.3,2487.0,177.0
