geoid,prec_housing_occupied_20,perc_owner_vacant_20,med_value_20
1001020100.0,97.6,0.0,151200.0
1001020200.0,79.6,0.0,85700.0
1001020300.0,92.3,0.0,115000.0
1001020400.0,94.0,1.9,163100.0
1001020501.0,95.5,2.2,173000.0
1001020502.0,100.0,0.0,186800.0
1001020503.0,100.0,0.0,228200.0
1001020600.0,90.8,1.9,108700.0
1001020700.0,95.0,0.0,110500.0
1001020801.0,85.3,4.9,317400.0
1001020803.0,90.3,0.0,156500.0
1001020804.0,96.8,0.5,219400.0
1001020805.0,95.8,0.0,150700.0
1001020901.0,79.9,0.0,154800.0
1001020902.0,97.0,0.0,
1001021000.0,77.2,0.7,153200.0
1001021100.0,80.1,0.6,89800.0
1003010100.0,66.7,1.1,86500.0
1003010200.0,89.6,0.0,129500.0
1003010300.0,91.1,0.0,166100.0
1003010400.0,87.7,2.2,138400.0
1003010500.0,93.0,0.0,154000.0
1003010600.0,82.7,0.0,87700.0
1003010704.0,92.0,2.4,174200.0
1003010706.0,91.3,3.8,305100.0
1003010707.0,93.1,4.0,226900.0
1003010708.0,91.4,3.8,216000.0
1003010709.0,98.6,0.0,314600.0
1003010710.0,97.6,1.3,253200.0
1003010711.0,81.3,6.5,162100.0
1003010800.0,87.0,0.0,389300.0
1003010903.0,85.0,5.2,164600.0
1003010904.0,79.6,0.9,199300.0
1003010906.0,95.5,3.1,130200.0
1003010907.0,89.1,0.7,171400.0
1003010908.0,84.0,0.0,146600.0
1003011000.0,87.5,0.0,170400.0
1003011102.0,88.2,2.2,265700.0
1003011103.0,95.6,5.0,242300.0
1003011104.0,96.7,0.0,253500.0
1003011201.0,74.0,8.0,383100.0
1003011202.0,73.3,3.2,383100.0
1003011300.0,82.8,2.1,407500.0
1003011409.0,81.2,0.0,182100.0
1003011410.0,75.8,2.3,176300.0
1003011411.0,75.1,6.5,199600.0
1003011412.0,88.6,0.0,273400.0
1003011413.0,80.3,0.0,238200.0
1003011414.0,39.3,8.9,351100.0
1003011415.0,14.9,14.9,629900.0
1003011416.0,13.2,21.6,375000.0
1003011417.0,60.8,6.2,253900.0
1003011418.0,11.8,12.7,257000.0
1003011419.0,40.0,8.1,265500.0
1003011501.0,95.8,0.0,186300.0
1003011503.0,89.0,3.3,193700.0
1003011504.0,85.4,0.0,224400.0
1003011601.0,76.0,3.3,172900.0
1003011603.0,78.1,4.6,159200.0
1003011604.0,80.5,0.0,154600.0
1003990000.0,,,
1005950100.0,74.9,0.0,100300.0
1005950200.0,79.3,7.4,76300.0
1005950300.0,73.3,2.5,84700.0
1005950400.0,71.1,0.6,53300.0
1005950500.0,67.3,5.9,59400.0
1005950600.0,81.3,0.0,78200.0
1005950700.0,86.1,7.4,78900.0
1005950800.0,90.3,1.8,140500.0
1005950900.0,83.5,8.0,120100.0
1007010001.0,66.3,1.2,74900.0
1007010005.0,80.9,0.9,110100.0
