geoid,treat
1073010804,0
6001404501,0
6001404600,0
6001421100,0
6037124000,0
6037124903,0
6037141700,0
6037261102,0
6037301300,0
6037430600,0
6037464200,0
6037571300,0
6037651302,0
6037651304,0
6037670324,0
6037670326,0
6037670328,0
6037700600,0
6037700700,0
8031004303,0
9003416400,0
9003417400,0
9003497200,0
9003497300,0
9003497400,0
9003497500,0
9003497700,0
12031013000,0
12086003906,0
12086003922,0
12086004000,0
12086004105,0
12086004106,0
12086006706,0
12103024001,0
13089020100,0
18097320800,0
18097321900,0
18141001200,0
19153002900,0
19193001000,0
20173003600,0
21111009600,0
22017022700,0
22017022800,0
22071013301,0
24510270902,0
25025120105,0
26163500900,0
26163501000,0
26163538500,0
26163538600,0
26163542200,0
26163550900,0
27123035100,0
27123036300,0
29189216500,0
31055003600,0
31055003700,0
31055004400,0
31055004500,0
31055004600,0
31055004700,0
31055004800,0
31055006604,0
31055006701,0
31109002001,0
31109002400,0
34021001200,0
36001013706,0
36061008603,0
36061010200,0
36061010601,0
36061011401,0
36061011402,0
36061012000,0
36061012200,0
36061012800,0
36061013000,0
36061014200,0
36061015001,0
36061015002,0
36061016001,0
36081073900,0
36081074100,0
36081075702,0
36119002104,0
36119002107,0
36119006700,0
36119006802,0
37067002501,0
37067002502,0
37119002701,0
37119002702,0
39035183100,0
39035183200,0
39035183300,0
39035183401,0
39035183501,0
39035183502,0
39035183604,0
39035183605,0
39095001301,0
39095007600,0
39113010100,0
39113020200,0
39113020300,0
39113020400,0
39153506200,0
39153507101,0
39153507102,0
40109106401,0
40143004101,0
40143004301,0
40143004500,0
42003473200,0
42003473500,0
42041010500,0
42045406100,0
42071011802,0
42071013503,0
42079200200,0
42079200300,0
42079200400,0
42079200500,0
42079200600,0
42079200700,0
42079200800,0
42079201000,0
42079201100,0
42079201400,0
42079212100,0
42079212300,0
42079212800,0
42079212900,0
42079213000,0
42091204300,0
42091204400,0
42101023500,0
42101027000,0
42101037500,0
42133010510,0
44007013702,0
44007015000,0
47037017701,0
47037017702,0
47037017901,0
47037017902,0
47037018500,0
47065010502,0
47093007100,0
48029180300,0
48029180400,0
48029180604,0
48113007101,0
48113007604,0
48113019501,0
48113019502,0
48113020600,0
48201312700,0
48201313000,0
48201410900,0
48439102201,0
48439104202,0
48439105403,0
48453000102,0
48453001604,0
48453001606,0
49035103600,0
49035103700,0
49035104100,0
49035104400,0
51760050600,0
55025010200,0
4013111900,0
6037194300,0
6037262100,0
18141003200,0
20091050800,0
20173001000,0
22017023100,0
26163538200,1
36005029301,0
36119002103,0
36119002105,0
36119002201,1
36119002202,1
36119006801,0
39035183606,0
39035187105,0
40109102000,0
40109102100,0
40143001700,0
42003473401,0
42091202302,0
42101020800,0
48029180101,0
6037481902,0
12086003915,0
12086006705,0
13121009900,0
19153001000,0
34013019400,0
36001001902,0
36005032300,0
36055007802,0
42079200900,0
42091202500,0
42091204600,1
49057201400,0
51740210400,0
5119003305,0
13051002200,0
21037052302,0
24510270901,0
27053011704,0
34007602000,1
42101038600,0
6037265601,0
6037430701,0
9003503800,0
12086003919,0
24510270903,0
26163551100,0
27053011703,0
36085003900,0
37081010404,0
39049006500,0
42003140200,0
42079212700,0
6037463800,0
6073008311,0
26163574800,1
27053010700,0
34013014800,0
34013019500,0
36047004400,0
39153507202,0
48113000100,0
6001421200,0
6073002002,0
9001030300,1
26163501200,0
34013016200,0
34013017500,0
36029008102,0
36061027300,0
42091202401,0
48029180102,0
48113019800,0
48453001402,0
6037265100,0
6073008303,0
8031003901,0
9003496400,0
9003497000,0
17167002100,1
18141001600,0
24005490601,0
24510090200,0
24510271102,0
34013018000,0
39113010200,0
41051004601,0
55079035100,0
6037141202,0
18097321800,0
31109002300,0
34013014900,1
36029009402,0
39153520201,1
40143004302,0
48381020400,0
6075042800,0
29189216300,0
36029009401,0
37119002800,0
42003140100,0
42003473601,0
44007003400,0
29095008400,0
41051006300,0
42091201800,0
48113000201,0
48245011800,0
48453000500,0
6075033100,0
19013001400,0
34013019000,0
37081010500,0
39153507203,0
42003473402,0
48113000202,0
5119001600,0
12086004102,0
18089010400,0
18097322200,0
19153002800,0
27053111600,0
27123034900,0
31055005500,0
31055006400,0
34039033400,0
36005030900,0
39095004504,0
13121009501,0
17031720100,0
18097322300,0
21111013100,1
34039034800,0
6001426100,0
6037571900,0
17031800700,0
21111008700,0
24510120100,0
36005021001,0
36055012900,0
36061027500,0
42045404400,0
48375010400,0
19153003002,0
21111007501,1
26163538400,0
36119004700,0
6037234200,0
8031004302,0
26163550100,0
48245005400,0
6037600801,0
19153003100,0
22017021600,0
26163550300,0
42101027300,0
6001404700,1
6037480201,0
21117064900,0
24510280401,0
26163550600,0
27123036400,0
39049000220,0
48245006300,0
55079090700,0
6037125600,0
6037188202,0
6037703100,0
8101001500,0
21117064800,0
36029006602,0
36047004600,0
36065021701,0
42091204500,0
51710001700,0
6037480002,0
9009165200,0
21111008800,0
27053010600,0
39095002401,0
42045404500,0
42101025600,0
44007016500,1
48439102401,0
55079070200,0
36067004600,0
39049009000,0
48113000300,0
54011001300,0
6073006900,0
6073021800,0
6077001200,0
34013019800,0
39049002730,0
48453001605,0
51760050300,0
17031120100,0
18163000400,0
27053111400,0
29189212300,0
31055006806,0
39049009100,0
42049000200,0
55025000700,0
6075030600,0
29510114102,0
36061028700,0
39153530700,1
42101025500,0
48029190400,0
6037262302,0
6073002001,0
17097865600,0
34013016300,0
36061028100,0
39035181100,0
39035196000,0
42101027500,1
47037018000,1
48029190800,0
51680001000,0
26163542100,0
27137000700,0
28049001500,0
31055005000,0
34013016400,0
34013016900,0
36005033500,1
39049002740,0
39049006600,0
42101027402,0
55025010100,0
17031120200,0
29189216600,0
31109001500,0
31109002500,0
34013020901,0
36119004500,1
48113019301,0
20173002200,1
26163501100,0
36067005000,0
39035140800,0
39035160100,0
40109100300,0
26125142600,0
36029009501,0
36055012600,0
48309002498,0
6037194200,0
19153003200,0
20173002000,0
21111008500,0
25017374300,0
25021416300,0
27053111300,0
36067000900,0
37067001200,0
39035187104,1
39099811400,0
42045404600,0
48453001603,1
6001408000,0
6037262303,0
6037460700,0
17031120300,0
25017338400,0
26081012300,0
27109000400,0
36005030100,0
36005030701,1
36061014000,0
36119002204,0
42101027401,0
48113004400,1
6075030800,0
36005021200,0
36119004200,1
39049006430,0
27053111500,0
31055004300,0
40109101500,1
42003140400,0
1073010802,1
9001022400,0
21067000600,0
26065004000,0
34013015000,0
34013020000,0
36061011203,0
21037052301,1
34021001300,0
39035153106,0
39153508600,0
48141001502,0
18097361000,0
24510271200,0
26163550500,0
37021000500,0
39035123400,0
40143003200,0
42101038500,0
47065012000,1
55079003700,0
6001400100,0
6001404502,0
6037189300,0
6073008102,0
17197882701,0
27137001000,0
39035177404,0
40143003600,0
42049002900,0
42091201608,0
54069001600,0
1101001400,0
6037265602,0
39049004610,0
40143000800,0
42101026900,0
9003417300,0
17197882702,0
26163551700,0
34013017900,1
39049002750,1
42101011700,0
44007013400,0
44007015900,0
51760010402,0
12086001104,0
19163013100,1
36005021002,0
39155921400,0
42077009300,0
55079080300,0
5119001501,0
6037265420,0
6037301400,0
9003496300,0
34007606400,0
34013019900,1
34013020100,0
39099811700,0
42091202602,0
42091210500,0
51760050400,1
53063004200,1
6037141304,0
6037703200,0
8031004202,0
12086006503,0
17031811900,0
19153000902,0
24510090600,0
39035160900,0
40109101800,0
42101026800,0
48113019400,0
48167725300,0
51760050100,0
54011002000,0
6037265201,0
17143002300,0
21037051300,1
39095004501,0
42101020600,0
48167725400,0
53033006200,1
6001423800,0
6073002804,0
17197881700,0
26163550700,0
27123030602,0
29510101300,0
55079007400,0
6037482101,0
6067002400,0
25021416400,1
29510114101,0
31055004900,0
34039031700,0
34039032500,0
36029006302,1
36047005000,0
36119006600,0
39035183402,1
39153506100,0
48167725500,0
55079090800,0
6037460800,0
6037480202,0
12086003921,1
18089021500,0
18163000600,0
24510280403,0
26125152700,0
26163550800,0
29510105198,1
39113000600,0
42079201200,0
6037189202,0
6037189702,0
9003524502,0
12057005401,0
18003003200,0
19153003001,0
21111008900,1
22017022600,0
31109001600,0
34039037700,0
39151701100,0
6037261200,0
12031002102,0
25023510600,0
34001013101,0
34013019100,0
34039037900,0
36055010300,0
25017357800,0
28049001300,1
29095007200,0
29510108200,1
42101038700,0
44007013800,0
51770002900,0
53033006300,0
53063004500,0
17031807900,0
18097322100,0
25017374400,1
29095008500,0
29189219400,0
34039036400,0
36029006702,0
36055010200,0
39035123100,0
42003446000,0
6037461200,0
9009165300,0
26075000800,0
27123035000,1
39017001300,0
42101023100,0
6001421600,1
8031003203,0
12086006504,0
19153000802,0
27053109100,0
34039039100,0
39035106100,0
39099804200,0
40109102500,0
47065000700,1
6001421500,0
6037141102,0
6073010900,0
12057006101,0
17031809000,0
25017358700,0
25021401100,0
27137003700,0
28049002200,0
34013018800,0
34021001101,0
6037211000,0
8101001600,0
20091050000,0
20091050700,0
29189218800,0
34013021200,0
36001001700,0
36119000202,0
42003110600,1
55079005000,0
6037269300,0
25017357100,0
27123031100,0
36093032000,0
39095006400,0
39153504700,0
40109100800,0
40109101900,0
41051004602,0
48453000101,1
53053060500,0
54011001200,1
6001405100,0
6075030900,0
9003496500,0
13051003000,0
17031811000,0
18167001400,0
26163543500,0
29510102200,0
34013016100,0
36119006900,0
39095006300,0
39113000500,0
44007017300,0
48439102202,0
4013111800,0
6037269000,0
12057006000,0
17031800600,0
17167001200,0
18089020900,0
19061000702,1
20177001900,0
25017373500,0
26163543200,0
36027220801,1
36063020100,0
42003070900,0
