geoid,perc_poverty_20
1001020100.0,13.9
1001020200.0,15.6
1001020300.0,11.6
1001020400.0,5.3
1001020501.0,11.7
1001020502.0,1.4
1001020503.0,8.4
1001020600.0,18.8
1001020700.0,29.9
1001020801.0,6.9
1001020803.0,23.4
1001020804.0,9.7
1001020805.0,0.0
1001020901.0,9.5
1001020902.0,8.2
1001021000.0,31.2
1001021100.0,13.6
1003010100.0,7.2
1003010200.0,11.0
1003010300.0,4.5
1003010400.0,7.1
1003010500.0,7.1
1003010600.0,20.6
1003010704.0,6.7
1003010706.0,2.8
1003010707.0,0.8
1003010708.0,4.9
1003010709.0,2.4
1003010710.0,6.6
1003010711.0,7.4
1003010800.0,2.5
1003010903.0,5.8
1003010904.0,6.3
1003010906.0,9.3
1003010907.0,6.9
1003010908.0,13.4
1003011000.0,8.4
1003011102.0,3.9
1003011103.0,1.7
1003011104.0,2.2
1003011201.0,1.5
1003011202.0,3.4
1003011300.0,5.0
1003011409.0,1.8
1003011410.0,15.3
1003011411.0,8.2
1003011412.0,4.3
1003011413.0,14.3
1003011414.0,1.4
1003011415.0,2.5
1003011416.0,15.8
1003011417.0,5.1
1003011418.0,0.0
1003011419.0,12.7
1003011501.0,4.8
1003011503.0,11.1
1003011504.0,7.3
1003011601.0,3.5
1003011603.0,12.7
1003011604.0,5.1
1003990000.0,
1005950100.0,12.4
1005950200.0,22.5
1005950300.0,27.6
1005950400.0,21.3
1005950500.0,11.5
1005950600.0,42.5
1005950700.0,23.5
1005950800.0,26.5
1005950900.0,35.4
1007010001.0,20.7
1007010005.0,8.3
1007010006.0,9.6
1007010007.0,8.8
1007010008.0,1.7
1007010009.0,42.2
1007010010.0,21.7
1007010011.0,9.4
1009050103.0,16.4
1009050104.0,9.4
1009050105.0,6.8
1009050106.0,17.3
1009050107.0,12.6
1009050200.0,10.4
1009050301.0,13.0
1009050302.0,13.8
1009050400.0,6.0
1009050501.0,11.7
1009050502.0,7.7
1009050601.0,5.2
1009050603.0,1.7
1009050604.0,8.8
1009050701.0,14.8
1009050702.0,12.2
1011952100.0,12.9
1011952201.0,27.0
1011952202.0,45.4
1011952500.0,6.2
1013952700.0,27.6
1013952800.0,14.0
1013952900.0,13.9
1013953000.0,8.3
1013953100.0,21.2
1013953200.0,5.1
1013953300.0,10.0
1013953400.0,16.5
1013953500.0,11.2
1015000200.0,14.8
1015000300.0,18.6
1015000400.0,17.7
1015000500.0,26.3
1015000600.0,28.4
1015000700.0,17.2
1015000800.0,25.0
1015000900.0,5.3
1015001000.0,7.2
1015001101.0,3.3
1015001102.0,6.5
1015001103.0,4.2
1015001201.0,16.8
1015001202.0,12.6
1015001300.0,14.5
1015001400.0,9.4
1015001501.0,8.8
1015001502.0,6.4
1015001600.0,11.5
1015001700.0,6.0
1015001801.0,11.0
1015001802.0,14.0
1015002001.0,7.4
1015002002.0,6.3
1015002101.0,18.1
1015002102.0,13.6
1015002104.0,13.1
1015002105.0,19.4
1015002200.0,11.5
1015002300.0,16.3
1015002400.0,11.5
1015002502.0,7.8
1015002503.0,4.3
1015002504.0,5.7
1015002600.0,11.8
1015981901.0,0.0
1015981902.0,
1015981903.0,
1017953800.0,27.3
1017953900.0,12.8
1017954001.0,2.2
1017954002.0,8.3
1017954200.0,7.9
1017954300.0,8.0
1017954600.0,6.6
1017954700.0,4.5
1017954800.0,13.0
1019955701.0,3.3
1019955702.0,17.7
1019955801.0,10.2
1019955802.0,10.3
1019955900.0,17.0
1019956000.0,7.6
1019956101.0,12.7
1019956102.0,11.7
1021060101.0,16.8
1021060103.0,15.3
1021060104.0,8.2
1021060200.0,5.4
1021060300.0,8.4
1021060401.0,11.2
1021060403.0,15.6
1021060404.0,18.5
1021060500.0,15.3
1021060600.0,12.4
1021060701.0,15.4
