geoid,total_enroll_10,total_k12,perc_public_enroll_10,perc_private_enroll_10
1001020100.0,437.0,24.0,86.0,14.0
1001020200.0,639.0,28.0,80.1,19.9
1001020300.0,1099.0,25.0,85.1,14.9
1001020400.0,1122.0,61.0,78.9,21.1
1001020500.0,3508.0,149.0,79.7,20.3
1001020600.0,1114.0,36.0,93.5,6.5
1001020700.0,590.0,44.0,73.7,26.3
1001020801.0,896.0,91.0,77.5,22.5
1001020802.0,2947.0,178.0,86.9,13.1
1001020900.0,1423.0,31.0,77.4,22.6
1001021000.0,609.0,9.0,94.1,5.9
1001021100.0,831.0,62.0,83.4,16.6
1003010100.0,858.0,41.0,80.3,19.7
1003010200.0,605.0,76.0,95.9,4.1
1003010300.0,1736.0,127.0,92.3,7.7
1003010400.0,1009.0,64.0,86.3,13.7
1003010500.0,742.0,50.0,91.8,8.2
1003010600.0,1156.0,50.0,95.6,4.4
1003010701.0,2262.0,76.0,82.0,18.0
1003010703.0,2835.0,193.0,79.6,20.4
1003010704.0,1112.0,94.0,85.1,14.9
1003010705.0,1906.0,177.0,84.3,15.7
1003010800.0,1627.0,125.0,70.5,29.5
1003010903.0,1113.0,37.0,85.4,14.6
1003010904.0,1947.0,51.0,82.3,17.7
1003010905.0,1948.0,127.0,81.0,19.0
1003010906.0,786.0,85.0,93.4,6.6
1003011000.0,685.0,18.0,97.7,2.3
1003011101.0,2211.0,305.0,79.0,21.0
1003011102.0,973.0,59.0,88.8,11.2
1003011201.0,1062.0,117.0,71.2,28.8
1003011202.0,875.0,143.0,63.2,36.8
1003011300.0,764.0,47.0,80.0,20.0
1003011401.0,1764.0,127.0,81.1,18.9
1003011403.0,1678.0,25.0,84.6,15.4
1003011405.0,665.0,0.0,92.0,8.0
1003011406.0,797.0,21.0,92.2,7.8
1003011407.0,1108.0,26.0,88.4,11.6
1003011408.0,66.0,0.0,95.5,4.5
1003011501.0,982.0,65.0,73.8,26.2
1003011502.0,2202.0,129.0,89.5,10.5
1003011601.0,1284.0,111.0,86.0,14.0
1003011602.0,535.0,25.0,87.7,12.3
1003990000.0,0.0,0.0,,
1005950100.0,713.0,97.0,73.1,26.9
1005950200.0,564.0,22.0,86.2,13.8
1005950300.0,344.0,1.0,86.9,13.1
1005950400.0,478.0,0.0,93.7,6.3
1005950500.0,540.0,57.0,90.6,9.4
1005950600.0,663.0,39.0,88.8,11.2
1005950700.0,378.0,17.0,81.2,18.8
1005950800.0,619.0,14.0,87.1,12.9
1005950900.0,1672.0,46.0,91.0,9.0
1007010001.0,472.0,42.0,98.7,1.3
1007010002.0,1602.0,57.0,91.8,8.2
1007010003.0,967.0,43.0,91.7,8.3
1007010004.0,1821.0,105.0,92.5,7.5
1009050101.0,1657.0,112.0,90.8,9.2
1009050102.0,1244.0,85.0,93.7,6.3
1009050200.0,1116.0,80.0,95.9,4.1
1009050300.0,1118.0,82.0,91.2,8.8
1009050400.0,1037.0,108.0,95.5,4.5
1009050500.0,1652.0,75.0,88.7,11.3
1009050601.0,832.0,40.0,83.9,16.1
1009050602.0,2214.0,122.0,78.6,21.4
1009050700.0,2386.0,212.0,88.5,11.5
1011952100.0,532.0,25.0,92.1,7.9
1011952200.0,1268.0,29.0,94.6,5.4
1011952500.0,651.0,8.0,86.5,13.5
1013952700.0,477.0,39.0,85.5,14.5
1013952800.0,449.0,0.0,76.2,23.8
1013952900.0,612.0,55.0,86.8,13.2
1013953000.0,281.0,0.0,79.7,20.3
1013953100.0,599.0,48.0,95.8,4.2
1013953200.0,1172.0,57.0,91.5,8.5
1013953300.0,504.0,65.0,91.1,8.9
1013953400.0,726.0,24.0,93.3,6.7
1013953500.0,388.0,0.0,100.0,0.0
1015000200.0,725.0,40.0,84.3,15.7
1015000300.0,654.0,48.0,95.9,4.1
1015000400.0,665.0,16.0,97.6,2.4
1015000500.0,409.0,14.0,100.0,0.0
1015000600.0,549.0,35.0,92.7,7.3
1015000700.0,553.0,15.0,83.5,16.5
1015000800.0,177.0,0.0,83.1,16.9
1015000900.0,574.0,56.0,54.4,45.6
1015001000.0,1224.0,146.0,66.2,33.8
1015001100.0,1273.0,38.0,95.4,4.6
1015001201.0,841.0,16.0,82.8,17.2
1015001202.0,990.0,58.0,88.1,11.9
1015001300.0,531.0,50.0,84.9,15.1
1015001400.0,580.0,17.0,95.9,4.1
1015001500.0,1033.0,44.0,86.9,13.1
1015001600.0,706.0,28.0,90.5,9.5
1015001700.0,1625.0,15.0,87.6,12.4
1015001800.0,1610.0,104.0,91.2,8.8
1015002000.0,1534.0,84.0,86.2,13.8
1015002101.0,3016.0,12.0,97.7,2.3
1015002102.0,853.0,30.0,88.0,12.0
1015002103.0,2097.0,117.0,97.1,2.9
1015002200.0,943.0,137.0,93.7,6.3
1015002300.0,992.0,93.0,89.8,10.2
1015002400.0,1078.0,132.0,86.8,13.2
1015002501.0,1652.0,55.0,88.6,11.4
1015002502.0,1288.0,135.0,82.7,17.3
1015002600.0,1011.0,101.0,91.6,8.4
1015981901.0,0.0,0.0,,
1015981902.0,26.0,0.0,100.0,0.0
1015981903.0,0.0,0.0,,
1017953800.0,583.0,1.0,73.6,26.4
1017953900.0,913.0,60.0,84.4,15.6
1017954000.0,1565.0,27.0,88.6,11.4
1017954200.0,940.0,112.0,90.4,9.6
1017954300.0,941.0,23.0,96.3,3.7
1017954400.0,137.0,32.0,96.4,3.6
1017954500.0,986.0,38.0,97.2,2.8
1017954600.0,880.0,33.0,89.3,10.7
1017954700.0,1073.0,54.0,90.0,10.0
1019955701.0,642.0,27.0,95.2,4.8
